seqnum,CodeNo,Station Name,StationID,Lon,Lat,year,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12
184469,ETH710,Motta,GOMOTT11,37.89,11.074,2024,4.9,1.6,35.8,10.4,-9999,148.1,361.5,299.3,190.8,117.9,-9999,-9999
184470,ETH711,Moyale,SIMOYA11,39.03333,3.55,2024,3.8,-9999,60.9,327.9,126.1,2.5,15.2,37.5,6.7,94,-9999,-9999
184471,ETH723,Nedjo,WENEDJ11,35.45,9.5,2024,0,4.6,30,39.7,187,264.7,210.7,262.3,169.1,-9999,-9999,-9999
184472,ETH724,Nefas Mewcha,GNNEFA11,38.468,11.73022,2024,56.1,30.9,86.2,75.8,65.3,56.7,316.4,326.1,71,67.7,-9999,-9999
184473,ETH727,Nekemte,WENEKE12,36.463333,9.083333,2024,0,18.1,76.8,44.5,280.3,352.2,376.6,383.5,316.9,164.2,-9999,-9999
184477,ETH737,Pawe,GOPAWE11,36.410167,11.312267,2024,-9999,-9999,-9999,-9999,-9999,-9999,-9999,253,-9999,243.9,-9999,-9999
184479,ETH748,Robe,BAROBE22,40.05,7.133333,2024,24,-9999,50.5,93.6,51.9,35.7,75.9,208.4,78.6,135.7,-9999,-9999
184486,ETH767,Sekoru,KFSEKO11,37.41667,7.916667,2024,20.1,12.7,96.5,155.4,117.7,156.8,324.2,175.5,163.4,136.9,-9999,-9999
184491,ETH782,Shambu,WESHAM11,37.121167,9.5712,2024,42.6,-9999,48.7,7.5,199.5,274.7,210.4,293.8,244.9,190.6,-9999,-9999
184494,ETH803,Shola Gebeya,SHSHOL11,39.55,9.218,2024,0,-9999,75.6,130.3,16.5,85.6,365.7,252.5,90.5,134.8,-9999,-9999
184500,ETH813,Sirinka,WOSIRI21,39.614281,11.750998,2024,6.1,47.7,80.6,189.2,38.6,34.4,220.1,291.9,64.7,61,-9999,-9999
184505,ETH831,Tepi,ILTEPI11,35.4333,7.2,2024,59.5,52.4,98.3,186.6,256.4,93.3,304.6,239.3,174.9,-9999,-9999,-9999
184511,ETH863,Wegel Tena,WOWEGE11,39.221215,11.590343,2024,16.6,54.5,56.6,131.1,5.5,31,291.1,445.3,22.2,-9999,-9999,-9999
184516,ETH878,Woliso Giyon,SHWOLI11,37.983333,8.55,2024,27.2,65,78.3,117.2,70,131.9,247.1,354.2,181.1,120.2,-9999,-9999
184520,ETH903,Yetnora,GOYETN21,38.1083,10.2449,2024,31.1,23.6,45,41.2,97.7,175.2,300.4,302.5,139.5,92.5,-9999,-9999
184522,ETH918,Ziway,SHZIWA11,38.7,7.933333,2024,0,21.9,153.3,66.6,19,154.9,296.4,112.3,11.5,83.3,-9999,-9999
186002,,Robe,ARROBE21,39.6222,7.87583017,2024,0,8.3,165.3,78,44.7,92.4,334.1,196.7,124.5,89.1,-9999,-9999
186010,ETH704,Mirab Abaya Ber Ber,GGMIRA21,37.77,6.28,2024,38.2,23.1,21.2,138,137,63,117,91.2,11,141.7,-9999,-9999
186012,ETH758,Sawula,GGSAWU31,36.84125,6.304888,2024,72.2,106.2,100,314.7,231.8,56.6,169.2,274.9,92.7,355.4,-9999,-9999
186013,ETH832,Tercha,GGTERC21,37.16792,7.148722,2024,88.1,48.1,136,180.4,123.6,207.7,214.3,153.5,342.4,188.9,-9999,-9999
186017,ETH781,Shahura,GNSHAH11,36.8737,11.9286,2024,0,-9999,-9999,0,54.5,92.3,386.6,249.9,147.2,81.3,-9999,-9999
186019,ETH144,Bahir Dar New,GOBAHI12,37.385,11.595,2024,0,0,19.8,24.4,64.5,221.5,496.5,380.6,271.5,183.4,-9999,-9999
186021,ETH198,Bullen,GOBULL11,36.082,10.5959,2024,-9999,-9999,-9999,-9999,-9999,-9999,-9999,593.7,263.7,329.2,-9999,-9999
186022,ETH628,Lay_Birr(SF),GOLAY_11,37.17163,10.5916,2024,0,-9999,7.9,7.5,264.7,189.2,260.2,300.7,78.7,-9999,-9999,-9999
186023,ETH653,Mankush,GOMANK41,35.25,11.283333,2024,-9999,-9999,-9999,-9999,-9999,-9999,-9999,194.4,92.7,-9999,-9999,-9999
186024,ETH041,Aisha,HAAISH21,42.57758,10.7568,2024,0,-9999,18.7,159.9,3.4,0,6.5,28.4,36.3,3.2,-9999,-9999
186025,ETH052,Alemaya,HAALEM11,42.0333,9.4,2024,0,1.3,44.2,80.9,71.2,45.4,250.5,129.8,151.3,158.3,-9999,-9999
186026,ETH122,Awash Arba,HAAWAS31,40.158861,9.141056,2024,0,14,66.5,79.5,53.5,26,220,122,9.5,115.5,-9999,-9999
186029,ETH452,Gode Met,HAGODE22,43.58,5.9,2024,0,0,0,58,-9999,0,0,16,0,69.2,-9999,-9999
186031,ETH551,Jijiga,HAJIJI11,42.783333,9.333333,2024,0,0,21.6,93.8,45.4,26.7,127.6,118,142.5,107.4,-9999,-9999
186032,ETH566,Kebri Dehar,HAKEBR11,44.3,6.733333,2024,0,-9999,0,20,32,-9999,22.6,10.6,0,0,-9999,-9999
186034,ETH666,Meiso AVA,HAMEIS21,40.75,9.233333,2024,0,9.9,111.2,85.8,47.7,34.9,167.4,263.4,64.9,81.5,-9999,-9999
186036,ETH152,Bedele,ILBEDE11,36.333333,8.45,2024,10.1,61.4,136.7,64.3,243.7,256.9,313,251.6,316.8,263,-9999,-9999
186037,ETH397,Gambela,ILGAMB21,34.583333,8.25,2024,0.3,0.3,28.4,23,138.1,138.8,252.7,287.9,152.6,-9999,-9999,-9999
186038,ETH463,Gore,ILGORE12,35.533333,8.1333,2024,23.4,79.8,81.1,63.4,141.1,256.8,297.6,185.4,259.6,234.1,-9999,-9999
186041,,Maji,KFMAJI31,35.5900002,6.17749977,2024,165.8,-9999,138,271,-9999,32.3,-9999,-9999,68.6,-9999,-9999,-9999
186042,ETH019,Addis Ababa Obs,SHADDI21,38.7475,9.01891,2024,3.7,74,77.7,208.9,33.7,99.4,205.4,284.7,188.3,66.9,-9999,-9999
186044,ETH194,Bui,SHBUI_11,38.554444,8.330833,2024,5.9,32.1,218,134.9,28.2,137.6,409.4,156.7,83.7,161.7,-9999,-9999
186045,ETH265,Debre Zeit(AF),SHDEBR42,38.95,8.733333,2024,0.2,53.2,115.4,129.3,48.2,101.7,314.8,132.4,64.3,-9999,-9999,-9999
